order_id,product,category,price,quantity,payment_method,date,total,Month,Discount,City Code,Order Priority Code,Latitude,Longtitude
1,Watch,Electronics,12652.3,4,Easypaisa,01/01/2023,50609.2,January,0,1,2,1,0
2,Bag,Fashion,20053.64,2,Credit Card,02/01/2023,40107.28,January,0.1,1,2,1,0
3,Shoes,Fashion,13274.17,2,JazzCash,03/01/2023,26548.34,January,0.1,1,2,1,0
4,Bag,Electronics,15332.08,1,COD,04/01/2023,15332.08,January,0.1,1,2,1,0
5,Bag,Accessories,23165.07,1,Debit Card,05/01/2023,23165.07,January,0,1,,1,0
6,Laptop,Fashion,14283.2,4,JazzCash,06/01/2023,57132.8,January,0.1,1,2,1,0
7,Shoes,Fashion,71792.85,3,JazzCash,07/01/2023,215378.55,January,0,1,2,1,0
8,Shoes,Fashion,6878.58,2,Debit Card,08/01/2023,13757.16,January,0,,2,1,0
9,Shoes,Electronics,42198.66,2,JazzCash,09/01/2023,84397.32,January,0,1,2,1,0
10,Bag,Fashion,33126.55,1,COD,10/01/2023,33126.55,January,0.2,1,2,1,0
11,Watch,Accessories,78599.1,2,COD,11/01/2023,157198.2,January,0,1,2,1,0
12,Shoes,Fashion,9407.09,3,Debit Card,12/01/2023,28221.27,January,0,1,2,1,0
13,Headphones,Fashion,32129.52,1,Easypaisa,13/01/2023,32129.52,January,0,1,2,1,0
14,Bag,Accessories,77572.9,1,Credit Card,14/01/2023,77572.9,January,0,1,2,1,0
15,Laptop,Fashion,69307.82,1,Easypaisa,15/01/2023,69307.82,January,0,1,2,1,0
16,Watch,Electronics,65457.23,4,JazzCash,16/01/2023,261828.92,January,0.1,1,2,1,0
17,Headphones,Electronics,21003.27,3,Credit Card,17/01/2023,63009.81,January,0.2,1,2,1,0
18,Headphones,Electronics,14085.56,2,Debit Card,18/01/2023,28171.12,January,0,1,2,1,0
19,Laptop,Accessories,53657.14,4,Debit Card,19/01/2023,214628.56,January,0.1,1,2,1,0
20,Watch,Fashion,74385.39,4,Credit Card,20/01/2023,297541.56,January,0,1,2,1,0
21,Bag,Electronics,44762.65,4,COD,21/01/2023,179050.6,January,0,1,2,1,1
22,Mobile,Accessories,45943.21,1,Credit Card,22/01/2023,45943.21,January,0,1,2,1,1
23,Watch,Fashion,22758.34,3,JazzCash,23/01/2023,68275.02,January,0,1,2,1,1
24,Laptop,Accessories,61674.69,4,COD,24/01/2023,246698.76,January,0,1,2,1,1
25,Headphones,Electronics,15369.98,2,Debit Card,25/01/2023,30739.96,January,0,2,2,1,1
26,Bag,Electronics,26232.5,3,Credit Card,26/01/2023,78697.5,January,0.2,2,,1,1
27,Watch,Electronics,34322.2,2,Easypaisa,27/01/2023,68644.4,January,0,,2,1,1
28,Mobile,Accessories,40855.03,3,Easypaisa,28/01/2023,122565.09,January,0.1,2,2,1,1
29,Mobile,Accessories,19771.57,2,JazzCash,29/01/2023,39543.14,January,0,2,2,1,1
30,Shoes,Electronics,9629.53,1,Easypaisa,30/01/2023,9629.53,January,0,2,2,1,1
31,Shoes,Accessories,49044.29,4,Credit Card,31/01/2023,196177.16,January,0.2,2,2,1,1
32,Laptop,Electronics,23446.13,2,Credit Card,01/02/2023,46892.26,February,0.15,2,2,1,1
33,Watch,Electronics,46708.44,3,Easypaisa,02/02/2023,140125.32,February,0.2,2,0,1,1
34,Watch,Fashion,12771.84,4,Credit Card,03/02/2023,51087.36,February,0.1,2,0,1,1
35,Headphones,Accessories,38750.64,4,JazzCash,04/02/2023,155002.56,February,0,2,0,1,1
36,Headphones,Electronics,42840.86,3,COD,05/02/2023,128522.58,February,0,2,0,1,1
37,Headphones,Electronics,4619.97,2,JazzCash,06/02/2023,9239.94,February,0.2,2,0,1,-9.1
38,Shoes,Accessories,27260.04,1,JazzCash,07/02/2023,27260.04,February,0,2,0,1,-9.1
39,Watch,Fashion,11185.97,1,Credit Card,08/02/2023,11185.97,February,0,2,0,1,-9.1
40,Watch,Fashion,5538.31,2,COD,09/02/2023,11076.62,February,0.1,2,0,1,-9.1
41,Mobile,Electronics,79201.84,4,Credit Card,10/02/2023,316807.36,February,0.17,2,0,1,-9.1
42,Shoes,Accessories,26127.13,4,Debit Card,11/02/2023,104508.52,February,0,2,0,1,-9.1
43,Bag,Fashion,64885.02,4,Credit Card,12/02/2023,259540.08,February,0,2,0,1,-9.1
